ID,Name
0,Boston Breach
1,Atlanta FaZe
2,OpTic Texas
3,Minnesota Rokkr
4,Las Vegas Legion
5,Los Angeles Thieves
6,Los Angeles Guerillas
7,Seattle Surge
8,Toronto Ultra
9,New York Subliners
10,London Royal Ravens
11,Florida Mutineers
12,Decimate Gaming
13,Pollodrom
14,LAG Academy
15,Elevate
